License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2601355,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,NEW CENTURY CUISINE CORPORATION,NEW CENTURY,518 KIRKPATRICK ST,CORNER KIRKPATRICK & CARBON,SYRACUSE,NY,13208,816761,,10/1/2015,9/30/2017,43.06740085,-76.15462138,"(43.06740085, -76.15462138)"
2601376,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,MARJI & AL-TWAL INC,FAIR DELI MART,757 STATE FAIR BLVD,LAKELAND AVE & STATE FAIR BLVD,SYRACUSE,NY,13209,873932,11/10/2000,11/4/2015,10/31/2018,43.08628417,-76.23706186,"(43.08628417, -76.23706186)"
2601416,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,JAFAR AND SUSAN SALEH,J&B FOOD MARKET,409 BELLEVUE AVE,HUDSON AND RICH,SYRACUSE,NY,13204,857970,1/28/2002,1/2/2014,12/31/2016,43.03335896,-76.16017821,"(43.03335896, -76.16017821)"
2601439,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,RICHARD J GAWORECKI ENTERPRISES INC,WALLYS BELVEDERE,863 STATE FAIR BLVD,STATE FAIR BLVD & CHURCH ST,SYRACUSE,NY,13209,842857,1/12/2001,1/1/2015,12/31/2016,43.09239246,-76.24209494,"(43.09239246, -76.24209494)"
2601480,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,ECKERD CORPORATION,RITE AID PHARMACY #10768,602 NOTTINGHAM ROAD,,SYRACUSE,NY,13224,871658,,8/1/2015,7/31/2018,43.02233933,-76.11017279,"(43.02233933, -76.11017279)"
2601582,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,M J COLLINS LLC,PFOHLS TAVERN,4604 S SALINA ST,MINERVA & SEELEY,SYRACUSE,NY,13205,845307,3/22/2001,3/3/2015,2/28/2017,43.00283054,-76.14293693,"(43.00283054, -76.14293693)"
2601683,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,J A ROGAR INC,THE ALPINE,401 BUTTERNUT STREET,,SYRACUSE,NY,13208,848865,6/19/2001,6/1/2015,5/31/2017,43.05864897,-76.14997506,"(43.05864897, -76.14997506)"
2601757,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,DANIEL E BOVA,B & B FAIRWAY INN,ZONE 9-#00917 NYS FAIR GROUNDS,MILTON AVE & STATE FAIR BLVD,SYRACUSE,NY,13209,883549,6/30/2009,7/25/2016,10/31/2016,,,
2601775,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,VALERIES ITALIAN STYLE FOODS INC,BASILIOS SAUSAGE,518 STATE FAIR BLVD  SPACE 509,T/O GEDDES,SYRACUSE,NY,13209,877660,8/13/2001,8/1/2016,10/31/2016,,,
2601963,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,FOOD KING LLC,,500 OAKWOOD AVE,E CASTLE ST & S STATE ST,SYRACUSE,NY,13205,885506,12/19/2001,12/1/2016,11/30/2019,43.03381872,-76.14529815,"(43.03381872, -76.14529815)"
2601983,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,"RYDAN MARKET, INC.",STOP N SHOP,927 ONONDAGA AVE,SOUTH & PISTOL AVE,SYRACUSE,NY,13207,858419,3/6/2002,3/1/2014,2/28/2017,43.02508103,-76.16005903,"(43.02508103, -76.16005903)"
2601993,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,MIRABITO HOLDINGS INC,MIDLER AVE QUICKWAY #11,356 N MIDLER AVE,,SYRACUSE,NY,13206,861844,3/1/2002,11/1/2014,10/31/2017,43.07669174,-76.10435874,"(43.07669174, -76.10435874)"
