"Establishment Number","Inspection Date","Time Orders Issued","Retention Of Food Equipment","Closure For Imminent Hazard","Closure For Cleaning","Disposed Of Food","Civil Penalty","Court Summons","Row Number",
"1018      ","7/11/2007 12:10:00 PM",0,0,0,0,1,0,0,238,
"1018      ","11/28/2007 12:00:00 AM",0,0,0,0,0,1,0,239,
"1018      ","7/15/2008 1:30:00 PM",0,0,0,0,1,0,0,240,
"1018      ","1/26/2009 12:00:00 AM",0,0,0,0,0,1,0,241,
"1018      ","10/4/2010 1:46:18 PM",0,0,0,0,1,0,0,242,
"1018      ","2/4/2011 10:30:38 AM",0,0,0,0,1,0,0,243,
"1018      ","6/24/2015 1:15:00 PM",0,0,0,0,1,0,0,244,
"10182     ","7/28/2014 2:50:00 PM",0,0,0,0,1,0,0,245,
"10182     ","1/8/2015 2:00:00 PM",0,0,0,0,1,0,0,246,
"10194     ","8/26/2015 4:00:00 PM",0,0,0,0,1,0,0,247,
"10198     ","2/18/2015 1:00:00 PM",0,0,0,0,1,0,0,248,
"10199     ","6/27/2014 7:00:56 AM",0,0,0,0,1,0,0,249,
"10199     ","1/15/2016 8:55:00 AM",0,0,0,0,1,0,0,250,
"1020      ","3/13/2001 12:00:00 AM",1,0,0,0,0,0,0,251,
"1020      ","8/30/2002 12:00:00 AM",1,0,0,0,0,0,0,252,
"1020      ","9/6/2002 12:00:00 AM",1,0,0,0,0,0,0,253,
"1020      ","3/12/2003 11:00:00 AM",1,0,0,0,1,0,0,254,
"1020      ","3/24/2003 2:30:00 PM",1,0,0,0,0,0,0,255,
"1020      ","6/17/2003 12:00:00 AM",0,0,0,0,0,1,0,256,
"1020      ","6/18/2003 3:25:00 PM",1,0,0,0,0,0,0,257,
"1020      ","4/23/2004 12:00:00 AM",0,0,0,0,0,1,0,258,
"1020      ","8/17/2007 12:00:00 AM",0,0,0,0,0,1,0,259,
"1020      ","3/5/2008 3:45:00 PM",0,0,0,0,1,0,0,260,
"10204     ","9/15/2014 1:20:01 PM",0,0,0,0,1,0,0,261,
"10204     ","10/5/2015 4:25:00 PM",0,0,0,0,1,0,0,262,
"10207     ","10/1/2015 10:30:00 AM",0,0,0,0,1,0,0,263,
"10209     ","12/24/2014 11:00:00 AM",0,0,0,0,1,0,0,264,
"10209     ","5/19/2015 1:35:00 PM",0,0,0,0,1,0,0,265,
"10209     ","4/27/2016 1:20:00 PM",0,0,0,0,1,0,0,266,
"10210     ","12/19/2014 11:00:00 AM",0,0,0,0,1,0,0,267,
"10210     ","4/22/2016 12:38:59 PM",0,0,0,0,1,0,0,268,
"10214     ","11/6/2014 12:15:40 PM",0,0,0,0,1,0,0,269,
"1022      ","4/29/2016 12:30:00 PM",0,0,0,0,1,0,0,270,
"10223     ","10/21/2014 12:39:15 PM",0,0,0,0,1,0,0,271,
"10223     ","5/13/2015 9:30:00 AM",1,0,0,0,1,0,0,272,
"10223     ","10/15/2015 8:45:00 AM",0,0,0,0,1,0,0,273,
"10223     ","4/27/2016 11:00:00 AM",1,0,0,0,1,0,0,274,
"10223     ","5/3/2016 2:40:00 PM",0,0,0,0,1,0,0,275,
"10224     ","4/22/2015 5:10:00 PM",1,0,0,0,0,0,0,276,
"10227     ","10/20/2014 10:25:00 AM",0,0,0,0,1,0,0,277,
"10227     ","4/9/2015 1:30:00 PM",0,0,0,0,1,0,0,278,
"10228     ","10/14/2014 9:10:08 AM",0,0,0,0,1,0,0,279,
"10228     ","10/2/2015 9:30:00 AM",0,0,0,0,1,0,0,280,
"1023      ","4/23/2008 12:00:00 AM",0,0,0,0,0,1,0,281,
"1023      ","7/28/2008 10:50:00 AM",0,0,0,0,1,0,0,282,
"1023      ","8/18/2010 11:55:24 AM",0,0,0,0,1,0,0,283,
